No,Year,40 Day Fast,Diff Next Year,Shift Day,Total Diff,Total Year,Next 40 Day Fast
1,2024,"Tuesday, February 20, 2024",21,-1,20,365,"Tuesday, March 11, 2025"
2,2025,"Tuesday, March 11, 2025",-14,-1,-15,365,"Tuesday, February 24, 2026"
3,2026,"Tuesday, February 24, 2026",-7,-1,-8,365,"Tuesday, February 16, 2027"
4,2027,"Tuesday, February 16, 2027",21,-2,19,366,"Tuesday, March 7, 2028"
5,2028,"Tuesday, March 7, 2028",-14,-1,-15,365,"Tuesday, February 20, 2029"
6,2029,"Tuesday, February 20, 2029",21,-1,20,365,"Tuesday, March 12, 2030"
7,2030,"Tuesday, March 12, 2030",-7,-1,-8,365,"Tuesday, March 4, 2031"
8,2031,"Tuesday, March 4, 2031",-14,-2,-16,366,"Tuesday, February 17, 2032"
9,2032,"Tuesday, February 17, 2032",21,-1,20,365,"Tuesday, March 8, 2033"
10,2033,"Tuesday, March 8, 2033",-7,-1,-8,365,"Tuesday, February 28, 2034"
11,2034,"Tuesday, February 28, 2034",-14,-1,-15,365,"Tuesday, February 13, 2035"
12,2035,"Tuesday, February 13, 2035",21,-2,19,366,"Tuesday, March 4, 2036"
13,2036,"Tuesday, March 4, 2036",-7,-1,-8,365,"Tuesday, February 24, 2037"
14,2037,"Tuesday, February 24, 2037",21,-1,20,365,"Tuesday, March 16, 2038"
15,2038,"Tuesday, March 16, 2038",-14,-1,-15,365,"Tuesday, March 1, 2039"
16,2039,"Tuesday, March 1, 2039",-7,-2,-9,366,"Tuesday, February 21, 2040"
17,2040,"Tuesday, February 21, 2040",21,-1,20,365,"Tuesday, March 12, 2041"
18,2041,"Tuesday, March 12, 2041",-14,-1,-15,365,"Tuesday, February 25, 2042"
19,2042,"Tuesday, February 25, 2042",-7,-1,-8,365,"Tuesday, February 17, 2043"
20,2043,"Tuesday, February 17, 2043",21,-2,19,366,"Tuesday, March 8, 2044"
21,2044,"Tuesday, March 8, 2044",-7,-1,-8,365,"Tuesday, February 28, 2045"
22,2045,"Tuesday, February 28, 2045",-14,-1,-15,365,"Tuesday, February 13, 2046"
23,2046,"Tuesday, February 13, 2046",21,-1,20,365,"Tuesday, March 5, 2047"
24,2047,"Tuesday, March 5, 2047",-7,-2,-9,366,"Tuesday, February 25, 2048"
25,2048,"Tuesday, February 25, 2048",14,-1,13,365,"Tuesday, March 9, 2049"
26,2049,"Tuesday, March 9, 2049",-7,-1,-8,365,"Tuesday, March 1, 2050"
27,2050,"Tuesday, March 1, 2050",-7,-1,-8,365,"Tuesday, February 21, 2051"
28,2051,"Tuesday, February 21, 2051",21,-2,19,366,"Tuesday, March 12, 2052"
29,2052,"Tuesday, March 12, 2052",-14,-1,-15,365,"Tuesday, February 25, 2053"
30,2053,"Tuesday, February 25, 2053",-7,-1,-8,365,"Tuesday, February 17, 2054"
31,2054,"Tuesday, February 17, 2054",21,-1,20,365,"Tuesday, March 9, 2055"
32,2055,"Tuesday, March 9, 2055",-14,-2,-16,366,"Tuesday, February 22, 2056"
33,2056,"Tuesday, February 22, 2056",21,-1,20,365,"Tuesday, March 13, 2057"
34,2057,"Tuesday, March 13, 2057",-7,-1,-8,365,"Tuesday, March 5, 2058"
35,2058,"Tuesday, March 5, 2058",-14,-1,-15,365,"Tuesday, February 18, 2059"
36,2059,"Tuesday, February 18, 2059",21,-2,19,366,"Tuesday, March 9, 2060"
37,2060,"Tuesday, March 9, 2060",-7,-1,-8,365,"Tuesday, March 1, 2061"
38,2061,"Tuesday, March 1, 2061",-7,-1,-8,365,"Tuesday, February 21, 2062"
39,2062,"Tuesday, February 21, 2062",21,-1,20,365,"Tuesday, March 13, 2063"
40,2063,"Tuesday, March 13, 2063",-14,-2,-16,366,"Tuesday, February 26, 2064"
41,2064,"Tuesday, February 26, 2064",-7,-1,-8,365,"Tuesday, February 17, 2065"
42,2065,"Tuesday, February 17, 2065",14,-1,13,365,"Tuesday, March 2, 2066"
43,2066,"Tuesday, March 2, 2066",-7,-1,-8,365,"Tuesday, February 22, 2067"
44,2067,"Tuesday, February 22, 2067",21,-2,19,366,"Tuesday, March 13, 2068"
45,2068,"Tuesday, March 13, 2068",-7,-1,-8,365,"Tuesday, March 5, 2069"
46,2069,"Tuesday, March 5, 2069",-14,-1,-15,365,"Tuesday, February 18, 2070"
47,2070,"Tuesday, February 18, 2070",21,-1,20,365,"Tuesday, March 10, 2071"
48,2071,"Tuesday, March 10, 2071",-7,-2,-9,366,"Tuesday, March 1, 2072"
49,2072,"Tuesday, March 1, 2072",-14,-1,-15,365,"Tuesday, February 14, 2073"
50,2073,"Tuesday, February 14, 2073",21,-1,20,365,"Tuesday, March 6, 2074"
51,2074,"Tuesday, March 6, 2074",-7,-1,-8,365,"Tuesday, February 26, 2075"
52,2075,"Tuesday, February 26, 2075",14,-2,12,366,"Tuesday, March 10, 2076"
53,2076,"Tuesday, March 10, 2076",-7,-1,-8,365,"Tuesday, March 2, 2077"
54,2077,"Tuesday, March 2, 2077",-7,-1,-8,365,"Tuesday, February 22, 2078"
55,2078,"Tuesday, February 22, 2078",21,-1,20,365,"Tuesday, March 14, 2079"
56,2079,"Tuesday, March 14, 2079",-14,-2,-16,366,"Tuesday, February 27, 2080"
57,2080,"Tuesday, February 27, 2080",-7,-1,-8,365,"Tuesday, February 18, 2081"
58,2081,"Tuesday, February 18, 2081",21,-1,20,365,"Tuesday, March 10, 2082"
59,2082,"Tuesday, March 10, 2082",-14,-1,-15,365,"Tuesday, February 23, 2083"
60,2083,"Tuesday, February 23, 2083",21,-2,19,366,"Tuesday, March 14, 2084"
61,2084,"Tuesday, March 14, 2084",-7,-1,-8,365,"Tuesday, March 6, 2085"
62,2085,"Tuesday, March 6, 2085",-14,-1,-15,365,"Tuesday, February 19, 2086"
63,2086,"Tuesday, February 19, 2086",21,-1,20,365,"Tuesday, March 11, 2087"
64,2087,"Tuesday, March 11, 2087",-7,-2,-9,366,"Tuesday, March 2, 2088"
65,2088,"Tuesday, March 2, 2088",-7,-1,-8,365,"Tuesday, February 22, 2089"
66,2089,"Tuesday, February 22, 2089",21,-1,20,365,"Tuesday, March 14, 2090"
67,2090,"Tuesday, March 14, 2090",-14,-1,-15,365,"Tuesday, February 27, 2091"
68,2091,"Tuesday, February 27, 2091",-7,-2,-9,366,"Tuesday, February 19, 2092"
69,2092,"Tuesday, February 19, 2092",14,-1,13,365,"Tuesday, March 3, 2093"
70,2093,"Tuesday, March 3, 2093",-7,-1,-8,365,"Tuesday, February 23, 2094"
71,2094,"Tuesday, February 23, 2094",21,-1,20,365,"Tuesday, March 15, 2095"
72,2095,"Tuesday, March 15, 2095",-7,-2,-9,366,"Tuesday, March 6, 2096"
73,2096,"Tuesday, March 6, 2096",-14,-1,-15,365,"Tuesday, February 19, 2097"
74,2097,"Tuesday, February 19, 2097",21,-1,20,365,"Tuesday, March 11, 2098"
75,2098,"Tuesday, March 11, 2098",-7,-1,-8,365,"Tuesday, March 3, 2099"
76,2099,"Tuesday, March 3, 2099",-14,-1,-15,365,"Tuesday, February 16, 2100"
