No,Year,Easter Sun,Diff Next Year,Shift Day,Total Diff,Total Year,Next Easter Sun

1,2025,"Sunday, April 20, 2025",-14,-1,-15,365,"Sunday, April 5, 2026"
2,2026,"Sunday, April 5, 2026",-7,-1,-8,365,"Sunday, March 28, 2027"
3,2027,"Sunday, March 28, 2027",21,-2,19,366,"Sunday, April 16, 2028"
4,2028,"Sunday, April 16, 2028",-14,-1,-15,365,"Sunday, April 1, 2029"
5,2029,"Sunday, April 1, 2029",21,-1,20,365,"Sunday, April 21, 2030"
6,2030,"Sunday, April 21, 2030",-7,-1,-8,365,"Sunday, April 13, 2031"
7,2031,"Sunday, April 13, 2031",-14,-2,-16,366,"Sunday, March 28, 2032"
8,2032,"Sunday, March 28, 2032",21,-1,20,365,"Sunday, April 17, 2033"
9,2033,"Sunday, April 17, 2033",-7,-1,-8,365,"Sunday, April 9, 2034"
10,2034,"Sunday, April 9, 2034",-14,-1,-15,365,"Sunday, March 25, 2035"
11,2035,"Sunday, March 25, 2035",21,-2,19,366,"Sunday, April 13, 2036"
12,2036,"Sunday, April 13, 2036",-7,-1,-8,365,"Sunday, April 5, 2037"
13,2037,"Sunday, April 5, 2037",21,-1,20,365,"Sunday, April 25, 2038"
14,2038,"Sunday, April 25, 2038",-14,-1,-15,365,"Sunday, April 10, 2039"
15,2039,"Sunday, April 10, 2039",-7,-2,-9,366,"Sunday, April 1, 2040"
16,2040,"Sunday, April 1, 2040",21,-1,20,365,"Sunday, April 21, 2041"
17,2041,"Sunday, April 21, 2041",-14,-1,-15,365,"Sunday, April 6, 2042"
18,2042,"Sunday, April 6, 2042",-7,-1,-8,365,"Sunday, March 29, 2043"
19,2043,"Sunday, March 29, 2043",21,-2,19,366,"Sunday, April 17, 2044"
20,2044,"Sunday, April 17, 2044",-7,-1,-8,365,"Sunday, April 9, 2045"
21,2045,"Sunday, April 9, 2045",-14,-1,-15,365,"Sunday, March 25, 2046"
22,2046,"Sunday, March 25, 2046",21,-1,20,365,"Sunday, April 14, 2047"
23,2047,"Sunday, April 14, 2047",-7,-2,-9,366,"Sunday, April 5, 2048"
24,2048,"Sunday, April 5, 2048",14,-1,13,365,"Sunday, April 18, 2049"
25,2049,"Sunday, April 18, 2049",-7,-1,-8,365,"Sunday, April 10, 2050"
26,2050,"Sunday, April 10, 2050",-7,-1,-8,365,"Sunday, April 2, 2051"
27,2051,"Sunday, April 2, 2051",21,-2,19,366,"Sunday, April 21, 2052"
28,2052,"Sunday, April 21, 2052",-14,-1,-15,365,"Sunday, April 6, 2053"
29,2053,"Sunday, April 6, 2053",-7,-1,-8,365,"Sunday, March 29, 2054"
30,2054,"Sunday, March 29, 2054",21,-1,20,365,"Sunday, April 18, 2055"
31,2055,"Sunday, April 18, 2055",-14,-2,-16,366,"Sunday, April 2, 2056"
32,2056,"Sunday, April 2, 2056",21,-1,20,365,"Sunday, April 22, 2057"
33,2057,"Sunday, April 22, 2057",-7,-1,-8,365,"Sunday, April 14, 2058"
34,2058,"Sunday, April 14, 2058",-14,-1,-15,365,"Sunday, March 30, 2059"
35,2059,"Sunday, March 30, 2059",21,-2,19,366,"Sunday, April 18, 2060"
36,2060,"Sunday, April 18, 2060",-7,-1,-8,365,"Sunday, April 10, 2061"
37,2061,"Sunday, April 10, 2061",-7,-1,-8,365,"Sunday, April 2, 2062"
38,2062,"Sunday, April 2, 2062",21,-1,20,365,"Sunday, April 22, 2063"
39,2063,"Sunday, April 22, 2063",-14,-2,-16,366,"Sunday, April 6, 2064"
40,2064,"Sunday, April 6, 2064",-7,-1,-8,365,"Sunday, March 29, 2065"
41,2065,"Sunday, March 29, 2065",14,-1,13,365,"Sunday, April 11, 2066"
42,2066,"Sunday, April 11, 2066",-7,-1,-8,365,"Sunday, April 3, 2067"
43,2067,"Sunday, April 3, 2067",21,-2,19,366,"Sunday, April 22, 2068"
44,2068,"Sunday, April 22, 2068",-7,-1,-8,365,"Sunday, April 14, 2069"
45,2069,"Sunday, April 14, 2069",-14,-1,-15,365,"Sunday, March 30, 2070"
46,2070,"Sunday, March 30, 2070",21,-1,20,365,"Sunday, April 19, 2071"
47,2071,"Sunday, April 19, 2071",-7,-2,-9,366,"Sunday, April 10, 2072"
48,2072,"Sunday, April 10, 2072",-14,-1,-15,365,"Sunday, March 26, 2073"
49,2073,"Sunday, March 26, 2073",21,-1,20,365,"Sunday, April 15, 2074"
50,2074,"Sunday, April 15, 2074",-7,-1,-8,365,"Sunday, April 7, 2075"
51,2075,"Sunday, April 7, 2075",14,-2,12,366,"Sunday, April 19, 2076"
52,2076,"Sunday, April 19, 2076",-7,-1,-8,365,"Sunday, April 11, 2077"
53,2077,"Sunday, April 11, 2077",-7,-1,-8,365,"Sunday, April 3, 2078"
54,2078,"Sunday, April 3, 2078",21,-1,20,365,"Sunday, April 23, 2079"
55,2079,"Sunday, April 23, 2079",-14,-2,-16,366,"Sunday, April 7, 2080"
56,2080,"Sunday, April 7, 2080",-7,-1,-8,365,"Sunday, March 30, 2081"
57,2081,"Sunday, March 30, 2081",21,-1,20,365,"Sunday, April 19, 2082"
58,2082,"Sunday, April 19, 2082",-14,-1,-15,365,"Sunday, April 4, 2083"
59,2083,"Sunday, April 4, 2083",21,-2,19,366,"Sunday, April 23, 2084"
60,2084,"Sunday, April 23, 2084",-7,-1,-8,365,"Sunday, April 15, 2085"
61,2085,"Sunday, April 15, 2085",-14,-1,-15,365,"Sunday, March 31, 2086"
62,2086,"Sunday, March 31, 2086",21,-1,20,365,"Sunday, April 20, 2087"
63,2087,"Sunday, April 20, 2087",-7,-2,-9,366,"Sunday, April 11, 2088"
64,2088,"Sunday, April 11, 2088",-7,-1,-8,365,"Sunday, April 3, 2089"
65,2089,"Sunday, April 3, 2089",21,-1,20,365,"Sunday, April 23, 2090"
66,2090,"Sunday, April 23, 2090",-14,-1,-15,365,"Sunday, April 8, 2091"
67,2091,"Sunday, April 8, 2091",-7,-2,-9,366,"Sunday, March 30, 2092"
68,2092,"Sunday, March 30, 2092",14,-1,13,365,"Sunday, April 12, 2093"
69,2093,"Sunday, April 12, 2093",-7,-1,-8,365,"Sunday, April 4, 2094"
70,2094,"Sunday, April 4, 2094",21,-1,20,365,"Sunday, April 24, 2095"
71,2095,"Sunday, April 24, 2095",-7,-2,-9,366,"Sunday, April 15, 2096"
72,2096,"Sunday, April 15, 2096",-14,-1,-15,365,"Sunday, March 31, 2097"
73,2097,"Sunday, March 31, 2097",21,-1,20,365,"Sunday, April 20, 2098"
74,2098,"Sunday, April 20, 2098",-7,-1,-8,365,"Sunday, April 12, 2099"
75,2099,"Sunday, April 12, 2099",-14,-1,-15,365,"Sunday, March 28, 2100"
