No,Year,Good Friday,Diff Next Year,Shift Day,Total Diff,Total Year,Next Good Friday
1,2024,"Friday, March 29, 2024",21,-1,20,365,"Friday, April 18, 2025"
2,2025,"Friday, April 18, 2025",-14,-1,-15,365,"Friday, April 3, 2026"
3,2026,"Friday, April 3, 2026",-7,-1,-8,365,"Friday, March 26, 2027"
4,2027,"Friday, March 26, 2027",21,-2,19,366,"Friday, April 14, 2028"
5,2028,"Friday, April 14, 2028",-14,-1,-15,365,"Friday, March 30, 2029"
6,2029,"Friday, March 30, 2029",21,-1,20,365,"Friday, April 19, 2030"
7,2030,"Friday, April 19, 2030",-7,-1,-8,365,"Friday, April 11, 2031"
8,2031,"Friday, April 11, 2031",-14,-2,-16,366,"Friday, March 26, 2032"
9,2032,"Friday, March 26, 2032",21,-1,20,365,"Friday, April 15, 2033"
10,2033,"Friday, April 15, 2033",-7,-1,-8,365,"Friday, April 7, 2034"
11,2034,"Friday, April 7, 2034",-14,-1,-15,365,"Friday, March 23, 2035"
12,2035,"Friday, March 23, 2035",21,-2,19,366,"Friday, April 11, 2036"
13,2036,"Friday, April 11, 2036",-7,-1,-8,365,"Friday, April 3, 2037"
14,2037,"Friday, April 3, 2037",21,-1,20,365,"Friday, April 23, 2038"
15,2038,"Friday, April 23, 2038",-14,-1,-15,365,"Friday, April 8, 2039"
16,2039,"Friday, April 8, 2039",-7,-2,-9,366,"Friday, March 30, 2040"
17,2040,"Friday, March 30, 2040",21,-1,20,365,"Friday, April 19, 2041"
18,2041,"Friday, April 19, 2041",-14,-1,-15,365,"Friday, April 4, 2042"
19,2042,"Friday, April 4, 2042",-7,-1,-8,365,"Friday, March 27, 2043"
20,2043,"Friday, March 27, 2043",21,-2,19,366,"Friday, April 15, 2044"
21,2044,"Friday, April 15, 2044",-7,-1,-8,365,"Friday, April 7, 2045"
22,2045,"Friday, April 7, 2045",-14,-1,-15,365,"Friday, March 23, 2046"
23,2046,"Friday, March 23, 2046",21,-1,20,365,"Friday, April 12, 2047"
24,2047,"Friday, April 12, 2047",-7,-2,-9,366,"Friday, April 3, 2048"
25,2048,"Friday, April 3, 2048",14,-1,13,365,"Friday, April 16, 2049"
26,2049,"Friday, April 16, 2049",-7,-1,-8,365,"Friday, April 8, 2050"
27,2050,"Friday, April 8, 2050",-7,-1,-8,365,"Friday, March 31, 2051"
28,2051,"Friday, March 31, 2051",21,-2,19,366,"Friday, April 19, 2052"
29,2052,"Friday, April 19, 2052",-14,-1,-15,365,"Friday, April 4, 2053"
30,2053,"Friday, April 4, 2053",-7,-1,-8,365,"Friday, March 27, 2054"
31,2054,"Friday, March 27, 2054",21,-1,20,365,"Friday, April 16, 2055"
32,2055,"Friday, April 16, 2055",-14,-2,-16,366,"Friday, March 31, 2056"
33,2056,"Friday, March 31, 2056",21,-1,20,365,"Friday, April 20, 2057"
34,2057,"Friday, April 20, 2057",-7,-1,-8,365,"Friday, April 12, 2058"
35,2058,"Friday, April 12, 2058",-14,-1,-15,365,"Friday, March 28, 2059"
36,2059,"Friday, March 28, 2059",21,-2,19,366,"Friday, April 16, 2060"
37,2060,"Friday, April 16, 2060",-7,-1,-8,365,"Friday, April 8, 2061"
38,2061,"Friday, April 8, 2061",-7,-1,-8,365,"Friday, March 31, 2062"
39,2062,"Friday, March 31, 2062",21,-1,20,365,"Friday, April 20, 2063"
40,2063,"Friday, April 20, 2063",-14,-2,-16,366,"Friday, April 4, 2064"
41,2064,"Friday, April 4, 2064",-7,-1,-8,365,"Friday, March 27, 2065"
42,2065,"Friday, March 27, 2065",14,-1,13,365,"Friday, April 9, 2066"
43,2066,"Friday, April 9, 2066",-7,-1,-8,365,"Friday, April 1, 2067"
44,2067,"Friday, April 1, 2067",21,-2,19,366,"Friday, April 20, 2068"
45,2068,"Friday, April 20, 2068",-7,-1,-8,365,"Friday, April 12, 2069"
46,2069,"Friday, April 12, 2069",-14,-1,-15,365,"Friday, March 28, 2070"
47,2070,"Friday, March 28, 2070",21,-1,20,365,"Friday, April 17, 2071"
48,2071,"Friday, April 17, 2071",-7,-2,-9,366,"Friday, April 8, 2072"
49,2072,"Friday, April 8, 2072",-14,-1,-15,365,"Friday, March 24, 2073"
50,2073,"Friday, March 24, 2073",21,-1,20,365,"Friday, April 13, 2074"
51,2074,"Friday, April 13, 2074",-7,-1,-8,365,"Friday, April 5, 2075"
52,2075,"Friday, April 5, 2075",14,-2,12,366,"Friday, April 17, 2076"
53,2076,"Friday, April 17, 2076",-7,-1,-8,365,"Friday, April 9, 2077"
54,2077,"Friday, April 9, 2077",-7,-1,-8,365,"Friday, April 1, 2078"
55,2078,"Friday, April 1, 2078",21,-1,20,365,"Friday, April 21, 2079"
56,2079,"Friday, April 21, 2079",-14,-2,-16,366,"Friday, April 5, 2080"
57,2080,"Friday, April 5, 2080",-7,-1,-8,365,"Friday, March 28, 2081"
58,2081,"Friday, March 28, 2081",21,-1,20,365,"Friday, April 17, 2082"
59,2082,"Friday, April 17, 2082",-14,-1,-15,365,"Friday, April 2, 2083"
60,2083,"Friday, April 2, 2083",21,-2,19,366,"Friday, April 21, 2084"
61,2084,"Friday, April 21, 2084",-7,-1,-8,365,"Friday, April 13, 2085"
62,2085,"Friday, April 13, 2085",-14,-1,-15,365,"Friday, March 29, 2086"
63,2086,"Friday, March 29, 2086",21,-1,20,365,"Friday, April 18, 2087"
64,2087,"Friday, April 18, 2087",-7,-2,-9,366,"Friday, April 9, 2088"
65,2088,"Friday, April 9, 2088",-7,-1,-8,365,"Friday, April 1, 2089"
66,2089,"Friday, April 1, 2089",21,-1,20,365,"Friday, April 21, 2090"
67,2090,"Friday, April 21, 2090",-14,-1,-15,365,"Friday, April 6, 2091"
68,2091,"Friday, April 6, 2091",-7,-2,-9,366,"Friday, March 28, 2092"
69,2092,"Friday, March 28, 2092",14,-1,13,365,"Friday, April 10, 2093"
70,2093,"Friday, April 10, 2093",-7,-1,-8,365,"Friday, April 2, 2094"
71,2094,"Friday, April 2, 2094",21,-1,20,365,"Friday, April 22, 2095"
72,2095,"Friday, April 22, 2095",-7,-2,-9,366,"Friday, April 13, 2096"
73,2096,"Friday, April 13, 2096",-14,-1,-15,365,"Friday, March 29, 2097"
74,2097,"Friday, March 29, 2097",21,-1,20,365,"Friday, April 18, 2098"
75,2098,"Friday, April 18, 2098",-7,-1,-8,365,"Friday, April 10, 2099"
76,2099,"Friday, April 10, 2099",-14,-1,-15,365,"Friday, March 26, 2100"
